text,label,label_name
$SPPI - Spectrum Pharmaceuticals (SPPI) Investor Presentation - Slideshow. Sign up for updates on Seeking Alpha!… https://t.co/EeU3d0DygX,2,Neutral
$NOW gaps up through resistance around 276.50 after reclaiming its 200-day. Currently working on a 1st stage base (… https://t.co/L96E9iYdQJ,1,Bullish
ExxonMobil wins climate change court fight with New York https://t.co/3WQw4XLbqo,1,Bullish
Here's Why We're Not Too Worried About Liberty Gold's (TSE:LGD) Cash Burn Situation,2,Neutral
Korian and Omedys Develop the First Neighborhood Teleconsultation Network in France,2,Neutral
Western Union und italienisches Unternehmen Postepay ermöglichen grenzübergreifende Zahlungen,2,Neutral
$XLE $USO $BNO - Energy extends YTD loss to 15% as oil prices plunge https://t.co/m4VzJmxNUh,0,Bearish
PennMac Financial rises to record as Piper gets more bullish,1,Bullish
How Trump's trade war is hurting swing states https://t.co/cwagyBCUsZ by @rickjnewman https://t.co/sanXxpy2gT,2,Neutral
$EBAY - EBay nears deal to sell StubHub - WSJ https://t.co/AtzNmPTVTw,2,Neutral
China tariff cut buoys stocks as investors look beyond virus,1,Bullish
Netflix Inc.’s internal data suggests the streaming giant hasn’t been hurt yet by the launch of rival services from… https://t.co/wz2tbKruNf,1,Bullish
$NM - Navios Maritime reports Q3 results https://t.co/SvlqrTs9Wq,2,Neutral
kr121 - That's What Analysts Think NIBE Industrier AB (publ) Is Worth After These Results,2,Neutral
"Introducing Highway Holdings (NASDAQ:HIHO), The Stock That Slid 59% In The Last Year",0,Bearish
Edited Transcript of MMS earnings conference call or presentation 19-Nov-19 2:00pm GMT,2,Neutral
Upland Software acquires Localytics for $67.7M,2,Neutral
Industrial - Top 5 Gainers / Losers,2,Neutral
Old Mutual : Starts 2020 With Two New Senior Appointments #OldMutual #Stock #MarketScreener https://t.co/GkV9wOoONq https://t.co/mQAVdMjNK3,2,Neutral
Andaman Islands feel the tides of change https://t.co/1B4x0zYV5P,2,Neutral
$BPIRY $BPIRD $BPIRF - Piraeus Bank S.A. 2019 Q3 - Results - Earnings Call Presentation. Subscribe to Seeking Alpha… https://t.co/TYqmauxn2S,2,Neutral
Boeing to suspend 737 Max production in January,0,Bearish
Mid-Afternoon Market Update: NASDAQ Rises Over 2%; Myomo Shares Spike Higher,1,Bullish
"Stop asking ""how are you?"" Harvard researchers say this is how successful people make small talk. (via @CNBCMakeIt) https://t.co/YMWizjcJ0d",2,Neutral
Gorman-Rupp Reports Fourth Quarter and Full-Year 2019 Financial Results,2,Neutral
Did Hedge Funds Drop The Ball On Intra-Cellular Therapies Inc (ITCI) ?,2,Neutral
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,Bearish
"Amazon com : seeks to depose Trump, Esper in lawsuit over cloud computing contract #Amazoncom #Stock… https://t.co/VV5RlkaAZd",2,Neutral
Getting a new credit card to shop Black Friday? You might want to think twice,2,Neutral
"Gun Control Groups Hide Behind Bogus ""Police"" Think-Tank To Disarm Americans https://t.co/7V03o1wm9I",2,Neutral
Zayo Group to Consider Sale of Colocation Division,2,Neutral
U.S. Oil Inventories Rise More Than Expected #WTI #Stock #MarketScreener https://t.co/lMkNlbjinO https://t.co/wBBq3HdLZO,0,Bearish
Nasdaq at record high as investors look past coronavirus impact on supply chains https://t.co/e3P2dKgaY9,1,Bullish
Euro off 0.1% at $1.0965,0,Bearish
What happened in the world economy this week – in charts (via @DoubleTGolle & @ZSchneeweiss) https://t.co/i2FRELdxfw https://t.co/QPmmkxMRnX,2,Neutral
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,Bearish
The Justice Department urged the Supreme Court to hear President Trump’s bid to prevent his tax returns from being… https://t.co/1i63ccjsaO,2,Neutral
Invitae Corp. maintained as buy at Benchmark,1,Bullish
"Industrial goods, oil, gas get slammed as China coronavirus slashes demand",0,Bearish
10-year yield at 1.649%; 2-year yield at 1.443%; 30-year yield at 2.126%,2,Neutral
We’ve made our daily UK election live updates free to read so everyone – not only FT subscribers – can keep up with… https://t.co/eJrXGnK5hp,2,Neutral
What Does Minth Group Limited's (HKG:425) Share Price Indicate?,2,Neutral
Ukraine’s Zelensky stands firm in first encounter with Putin over Crimea https://t.co/9HmMpNGbrx,2,Neutral
Google Makes Another Cloud Acquisition During Antitrust Probe,2,Neutral
"$GE - GE Is A Buy, Considering Patent Dynamics. Subscribe to Seeking Alpha for more: https://t.co/0DwkvlcLXe #stocks #business #markets",1,Bullish
‘Judge Judy’ $47 million salary case closed but second lawsuit looms,0,Bearish
Trump urged the U.S. Supreme Court to block a House subpoena for 8 years of his financial records https://t.co/H1ri2xARmc,2,Neutral
$BONDX: Treasury Market Summary https://t.co/pPV9AHYSBR,2,Neutral
"Hong Kong Airlines to cut 400 jobs, operations as coronavirus hits travel",0,Bearish
$CGC - Canopy Growth: Falling Apart During Leadership Void. Get more info on Seeking Alpha: https://t.co/xK2vMWA8zf… https://t.co/0RjRrtJ2RK,0,Bearish
Arex Capital ramps up pressure on Zagg,2,Neutral
Policy changes to reduce global warming could force a net $1.6 trillion repricing in sectors from energy to agricul… https://t.co/5c5hIGJcc1,0,Bearish
"Restaurant Brands Int'l tops Q4 estimates, but company not ""clucking"" on all   
cylinders (QSR) https://t.co/wcig05Vmy3 $QSR",1,Bullish
$TSLA,2,Neutral
Prohibition Ended Today 86 Years Ago https://t.co/tOM8CdQ9v3,2,Neutral
"Russian and Romanian Rate Decisions, Commodity Chaos: Eco Day",2,Neutral
Community Healthcare declares $0.4175 dividend,2,Neutral
"Italy is the first country in the world to introduce mandatory climate change lessons in schools. 

@JohnFollain re… https://t.co/kuB7J49O7K",2,Neutral
$CLR - Continental Resources: Still Going Strong. https://t.co/naXlXnnaSp #stocks #business #trading,1,Bullish
Premarket London: EasyJet Profit in Line; Hammerson Fire Sale Continues,2,Neutral
$AYX - Alteryx Stock Price: More Downside Before Taking Off. Continue reading: https://t.co/RR0zn7EgmY #business #investing #economy,0,Bearish
Treasury yields inch higher after economic data,1,Bullish
"Tata Steel plans to cut up to 3,000 European jobs",2,Neutral
EBay : Nears Deal to Sell StubHub to Viagogo for Roughly $4 Billion #eBay #Stock #MarketScreener… https://t.co/95SK8Ahi0b,2,Neutral
Hedge Funds Are Crazy About Washington Federal Inc. (WAFD),1,Bullish
London Stock Exchange : Notice of Event of Default #LondonStockExchange #Stock #MarketScreener… https://t.co/V5w1I8JGGD,2,Neutral
US Treasury To Ask For $200 Billion More In Small Business Loans https://t.co/MpQKXdG9Xt,2,Neutral
"Tesla stock is wrapping up its best month since 2013, adding $40 billion in value in January.... https://t.co/Hmt4v3b2oN",1,Bullish
3 Canadian Biotechs to Consider Buying Today,2,Neutral
Tinyclues Announces Major Growth in 2019,1,Bullish
"Freddie Mac Prices $731 Million Multifamily K-Deal, K-F74  https://t.co/c31iovNuJy",0,Bearish
The Climate-Obsessed Have a New Favorite Website,2,Neutral
Professional Holding prices initial public offering,2,Neutral
"$SOL - ReneSola EPS beats by $0.01, beats on revenue https://t.co/8x62RlMKic",1,Bullish
"With the good news that came out today, you think that once the markets opened it no longer was good? It’s still go… https://t.co/26ZVn79Xyp",2,Neutral
Key events next week - healthcare,2,Neutral
Here's Why I Think Microsoft Is a Better Buy Than Amazon,2,Neutral
"Japan Exchange : Feb. 10, 2020 OSE Deletion of Component Issues for the TSE Mothers Index ... #JapanExchange… https://t.co/9qNtBBch4v",2,Neutral
Google Assistant launches personalized news playlists,2,Neutral
Top Executive Calls on Government to Help Hong Kong Hotels,2,Neutral
"Highlight: “It’s a carousel not only of coaches but of players,” @serwer says about the Redskins ownership problem.… https://t.co/PXqyVBhHgH",2,Neutral
"How Good Is CENTROTEC Sustainable AG (ETR:CEV), When It Comes To ROE?",2,Neutral
"The 1960s sexual revolution may have played a role in the cancer's rise, a researcher said.  https://t.co/WeUxfWHXjw",2,Neutral
"As 2020 approaches, firms across the financial industry are busy issuing outlooks for what the year ahead may hold.… https://t.co/aLOebW7OYx",2,Neutral
AbbVie : Form 8.3 -  #AbbVie #Stock #MarketScreener https://t.co/QPZhKPWGjF https://t.co/AS7H0SkVG8,2,Neutral
Malaysia's Mahathir clarifies comments on AirAsia,2,Neutral
Just Eat urges shareholders to shun Prosus and stick with Takeaway deal,2,Neutral
New Renault CEO de Meo will be much better paid than predecessor https://t.co/6HJ6WDU1f4 https://t.co/iKDjuHKLwr,2,Neutral
Santa Monica hotel built without permits can remain open,2,Neutral
FreightWaves Oil Report: So Where Is The Impact From IMO 2020?,2,Neutral
$SCANX: Large cap notable movers of interest -- BioNTech (BNTX) pulls back on above average volume https://t.co/iw2wzBPwnu,0,Bearish
"Going cashless may be convenient for some people, but for others, it makes businesses inaccessible.… https://t.co/HvFfdRDt7f",2,Neutral
Biden Is Endorsed by Nevada Congresswoman Titus: Campaign Update,2,Neutral
Canadian consumers filed the largest number of insolvencies in almost a decade at the end of last year https://t.co/ge8vHcmvBX,0,Bearish
$MFD - Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund declares $0.25 dividend https://t.co/JHZJcgjzBV,2,Neutral
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0,Bearish
ADS CEO news takes analysts by surprise,2,Neutral
AT&T takes on $5.5 billion loan to boost 'financial flexibility' https://t.co/WtOtgqfD0k https://t.co/Oh5ridf3ib,2,Neutral
$BRX - Brixmor Property declares $0.285 dividend https://t.co/VIkJsccs4w,2,Neutral
$ENB $CVE $IMO - Top Canadian oil producers foresee further cuts https://t.co/HuHcdWnFGd,0,Bearish
"Merger Arbitrage Analysis And Spread Performance - April 5, 2020. https://t.co/R2vdtaXb2G #business #investing #trading",2,Neutral
Altice USA places i24NEWS on AT&T nets,2,Neutral
Akbank T.A.S. reports Q4 results,2,Neutral
Stock futures move higher as trade deal hopes rise https://t.co/pGqBeBSfzF https://t.co/UI9uChGnUK,1,Bullish
WestRock upgraded to buy from neutral at BofA Merrill Lynch,1,Bullish
$TRGP rising late w/ another 800 Jan $37 calls trading,1,Bullish
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,Bearish
$XPO - XPO Logistics: Why You Shouldn't Let Cyclicality Dictate Investment Decisions. Read more and sign up for upd… https://t.co/mnOOzwmdQy,2,Neutral
S&P 500 down 0.2%; Nasdaq Composite down 0.3%,0,Bearish
"Q: How does the virus affect your Fed outlook?

Goldman : It slightly increases the downside risk to our call that... https://t.co/slAWy9i777",2,Neutral
TSB to axe at least 15% of branches in cost-cutting drive https://t.co/8c17g12zuC,0,Bearish
Palantir Wins New Pentagon Deal With $111 Million From the Army,1,Bullish
ECB's new chief Christine Lagarde has a deal for bank policymakers - cut out the open dissent and she'll spend more... https://t.co/q8kkm1J7Cz,2,Neutral
HSBC Plans Third Overhaul in a Decade With Investors Seething,2,Neutral
Investors line up against Mizuho support for coal https://t.co/17Y4zoF1op https://t.co/7KmeGZ6oNl,0,Bearish
T-Mobile CEO: 'Was never having discussions' to run WeWork,2,Neutral
AT&T is raising its quarterly dividend to 52 cents a share,1,Bullish
Since we rallied today due to the virus slowing down in KEY STATES (NY) will the Cuomo pressers be market-moving events?,1,Bullish
"Mexican stocks rose as pledges by U.S. lawmakers to swiftly approve a new trade deal between the U.S., Mexico and C… https://t.co/POBdbNIQO1",1,Bullish
"Here's why you should never lease a car, according to @suzeormanshow. https://t.co/wrAETk068o (via @CNBCMakeIt) https://t.co/aG4T2UOgmh",2,Neutral
The Best And Worst Oil Predictions Of 2019,2,Neutral
Apache declares $0.25 dividend,2,Neutral
Government Moves Bill In Lok Sabha To Appoint Unified Regulator For IFSCs,2,Neutral
American Airlines : Update on China Flights #AmericanAirlines #Stock #MarketScreener https://t.co/eAIZEfMItx https://t.co/mwyp2ShN5h,2,Neutral
"T-Mobile is eyeing a price cut in its merger with Sprint, sources say https://t.co/T1SPHlDuQ1",2,Neutral
Tesla stock rises on Shanghai factory optimismÃ¢â‚¬â€what to watch now $TSLA (via @TradingNation) https://t.co/CENYtEsk81,1,Bullish
Energy Stock Carnage Sets Up ‘Rinse and Repeat’ Start to 2020,0,Bearish
"Tickets for Obama fundraiser in Silicon Valley cost up to $355,000 https://t.co/tdtWxwt3QD via @FoxBusiness https://t.co/wNg6bJzBhx",2,Neutral
"H&E Equipment Services, Inc. (NASDAQ:HEES) Looks Like A Good Stock, And It's Going Ex-Dividend Soon",2,Neutral
How cheap-chic retailer Target has morphed into a model for how to avoid the retail apocalypse https://t.co/67FNXAUvYh,2,Neutral
"Barron's Picks And Pans: Charles Schwab, Disney, Sprint, Netflix And More",2,Neutral
House approves final part of spending package,2,Neutral
ArcelorMittal sees 2020 steel pick-up as debt hits low,1,Bullish
Sunny days lift restaurant sales in January,1,Bullish
"Thanksgiving in its early form carried much of the moral savour of the Protestant calendar, which replaced saints d… https://t.co/G2ml4tG8ny",2,Neutral
Aveo Pharma up 4% on advancement of tivozanib,1,Bullish
Platts: 5 Commodity Charts To Watch This Week https://t.co/u6hpTFPb7o,2,Neutral
Nokia's stock rises 1.9% on premarket-leading volume of 3.6 mln shares after AG Barr suggests buying stake,1,Bullish
"Trump-branded properties lost value since the 2016 election, study shows",2,Neutral
"Paul Tudor Jones Sees the Potential for a Stock Market Explosion, to the Upside",1,Bullish
"Tory Win Will Encourage U.K. House-Price Gains, Rightmove Says",2,Neutral
Das Does a Draghi With India Adopting Unconventional Tools,2,Neutral
Surprise German Factory Order Slump Shows Worst Isn't Over,0,Bearish
J2 Global Reports Fourth Quarter and Year End 2019 Results and Provides 2020 Outlook,2,Neutral
Delayed debut for all-electric Ferrari,2,Neutral
The Unspoken Truth: What Impeachment Exposed About Trump and 2020 https://t.co/pYTYBcD55I,2,Neutral
Stock Market Update: Stocks pull back at open despite encouraging employment data,0,Bearish
General Announcement::Sasseur REIT will be included in FTSE EPRA Nareit Global Emerging In... #SingaporeExchange… https://t.co/hYBpfL3Wkw,2,Neutral
"IMF Likely To Downgrade India’s Growth Forecast Significantly In January, Says Gita Gopinath",0,Bearish
EU goes into meeting frenzy ahead of February 20 summit on next seven-year budget,2,Neutral
"$CANF - Can-Fite up 22% premarket on ""positive"" Namodenonson data in NASH https://t.co/iV5errVN6S",1,Bullish
T-Mobile says CEO John Legere will be replaced next year by Mike Sievert,2,Neutral
Fiat Chrysler is in the process of two crucial negotiations at the same time. It needs each set of talks to go well… https://t.co/6aU0faZuf3,2,Neutral
The consensus of professional forecasters is that U.S. real GDP growth will dip below 2% in 2020… https://t.co/33GnLQotKz,0,Bearish
Highlight: Plumb Funds CIO Tom Plumb explains why he’s bullish on healthcare: https://t.co/UnOSsOci4O,2,Neutral
“I think it’s a time of great transformation in retail right now.” @stitchfix CEO Katrina Lake discusses how the co… https://t.co/gQgzOBNaUg,2,Neutral
Alexco Resource (TSE:AXU) Shareholders Have Enjoyed An Impressive 244% Share Price Gain,1,Bullish
AlayaCare Announces Acquisition of Arrow Solutions,2,Neutral
$CLR: Continental Resources announces suspension of quarterly dividend; global crude oil and product demand is... https://t.co/fRZIBBW5Mg,0,Bearish
"Workday added to Goldman's conviction list, stock gains",1,Bullish
Comey Admits Being ‘Overconfident’ in Approving Trump Probe,2,Neutral
"How Much Of ACS, Actividades de Construcción y Servicios, S.A. (BME:ACS) Do Insiders Own?",2,Neutral
Dotz Nano : Further request for voluntary suspension #DotzNano #Stock #MarketScreener https://t.co/lidytJ2fxm https://t.co/zqkHMHpbhz,2,Neutral
"Breaking Out of a Four-Month Stretch, Visa Stock Can Reach $200 - Investorplace.com",1,Bullish
$BFIN - BankFinancial goes ex-dividend tomorrow https://t.co/pWNv3vUdcj,2,Neutral
A sell-off in bonds amid improving economic fundamentals could bring cyclical stocks back into the spotlight in the… https://t.co/PJ9HYfS92E,2,Neutral
"""Frozen II"" is expected to heat up a cold box office, with $130 million in sales expected over its opening weekend https://t.co/jVip0q50Ne",2,Neutral
Dividend 15 Split Corp IIA declares CAD 0.10 dividend,2,Neutral
"Loss of working hours to equal 195m full-time jobs, UN agency warns https://t.co/Ww1kXzUS6G",0,Bearish
"🏎 This electric car can reach 60 mph in 1.69 seconds, making it the fastest accelerating car in the world https://t.co/fkwMspRy1H",2,Neutral
$LSCC - Lattice Semiconductor Q4 Earnings Preview https://t.co/JlIlzccfFu,2,Neutral
"Did Hedge Funds Drop The Ball On Editas Medicine, Inc. (EDIT) ?",2,Neutral
"Here's What We Think About Orion Energy Systems, Inc.'s (NASDAQ:OESX) CEO Pay",2,Neutral
$TAL - TAL Education -23% after fraud disclosure https://t.co/rj4urxOYLD,0,Bearish
"The measure for the expected change in the cost of medical care reached a new series low at 5.7 percent, according… https://t.co/WRfedWItff",2,Neutral
UPDATE 1-Proposed standards for mining waste dams draw concerns from industry trade group,2,Neutral
"Forget 'Ides Of March', Washington 'Storms Of December' Loom Over ""The Holidays"" https://t.co/KK7SgNSh1E",0,Bearish
CyrusOne upgraded to overweight from sector weight at KeyBanc Capital,1,Bullish
Probability of a recession pretty low: strategist,1,Bullish
Here are the key takeaways from the second day of Bloomberg's New Economy Forum in Beijing https://t.co/5iqx5WcO7I #NewEconForum,2,Neutral
$USO $OIL $UCO - Crude inventory unexpectedly rise https://t.co/IbTo1Js76I,0,Bearish
Nasdaq opens 34 points or 0.4% higher,1,Bullish
Nasdaq Composite retreats 0.5% at the start of trade,0,Bearish
ICYMI: 81% of U.S. small businesses are 'nonemployer' firms — meaning they have no employees other than the owner(s… https://t.co/ekY7cowJqt,2,Neutral
8 Industrials Stocks Moving In Monday's Pre-Market Session,2,Neutral
$FIZZ - National Beverage +4% as analysts keep scrambling https://t.co/JoctxfxaLB,1,Bullish
$HOV $GTES $TWI - Hovnanian Enterprises leads industrial gainers; losers none https://t.co/yOK5iZe7pf,2,Neutral
Sonoco Products buys healthcare packaging medical device thermoformer for $187M,2,Neutral
Trade fears have produced yet another pop in the VIX index.  https://t.co/Wf3nY2LLE5,0,Bearish
"Funko stock plummets 39%, shares downgraded after holiday season weakness",0,Bearish
"We should never underestimate the political commitment to the euro, says Financial Times’ @martinwolf_ to our host… https://t.co/j7hXUWAcau",2,Neutral
Domino's Pizza +2% after Goldman Sachs warms up,1,Bullish
Cancom SE Just Recorded A 42% EPS Beat: Here's What Analysts Are Forecasting Next,1,Bullish
"Coronavirus case tally: 31,420 cases, 638 deaths",2,Neutral
Why Pinterest Stock Just Popped 12.5%,1,Bullish
Inovio on go with study of INO-3107 for rare HPV disorder; shares up 15%,1,Bullish
What's the best novel you've read recently? Swap book recommendations in our online book group FT Books Cafe:… https://t.co/96LbqlO8UN,2,Neutral
'A lot of people feel defeated...Trump always wins. It seems like nothing can stop him.' Danny Villazon  @nytimes… https://t.co/qr7pY4rjma,2,Neutral
"OPEC, Russia and other oil producing nations have agreed to deeper production cuts in an attempt to support crude p… https://t.co/yY5TKhHz8Z",1,Bullish
How much do you make? Salary disclosures could boost what you earn https://t.co/fE37bjxtlm by @denitsa_tsekova https://t.co/75fs8dg8fI,2,Neutral
Economic indicator dulls allure of haven assets https://t.co/EJ7qAQfXP2,0,Bearish
Crown Prince Mohammed bin Salman is reportedly unhappy with progress on the country's move away from oil https://t.co/MQN6G8XlSt,2,Neutral
Luxury giant LVMH is reportedly nearing an agreement to add Tiffany & Co. to its portfolio. The acquisition deal wo… https://t.co/Bb7qhNWJj1,2,Neutral
McDonald : to Pay $26 Million in Wage Suit -- Update #McDonalds #Stock #MarketScreener https://t.co/zoeZqlt5Qo https://t.co/vK42itd5sU,1,Bullish
"Energy names lag on lower commodity prices for oil, gas",0,Bearish
Do FDC's (NSE:FDC) Earnings Warrant Your Attention?,2,Neutral
BJ's Wholesale cuts same-store sales outlook to up 1.3%-1.5% from up 1.5%-2.5%,0,Bearish
Latin America's economy was already going backward when the coronavirus hit. Now it's at risk of losing a whole dec… https://t.co/MLK8U4vIV0,0,Bearish
Do Directors Own BLOK Technologies Inc. (CNSX:BLK) Shares?,2,Neutral
"Highlight: ""We have high confidence that we've seen what we call the internal low for the market,"" @suntrust Chief… https://t.co/DegDCWsxib",1,Bullish
Federal Reserve Chairman Jerome Powell came close to acknowledging that the central bank may not have the firepower… https://t.co/jl7rxYgzcW,2,Neutral
Swisscom AG reports Q4 results,2,Neutral
Alkem Labs Gets Three Observations From U.S. FDA For St. Louis Facility,2,Neutral
6 Stocks With a Low Price-Sales Ratio,2,Neutral
Cash-out refis are making a comeback -- and that's bad news. https://t.co/5PscleonqC OPINION,0,Bearish
$TAST - Carrols Restaurant names Anthony E. Hull as CFO https://t.co/ufyJY8IHeo,2,Neutral
$VNDA - Vanda Pharmaceuticals (VNDA) Presents At Stifel Healthcare Conference - Slideshow. Subscribe to Seeking Alp… https://t.co/7AISZPTUE0,2,Neutral
Dapper Labs founder discusses CryptoKitties and digital collectibles,2,Neutral
Hedge Funds Are Dumping Cedar Realty Trust Inc (CDR),0,Bearish
6 Ways to Boost Your Savings in 2020,2,Neutral
Gold Price Forecast – Gold Markets Recover After Initial Selloff,1,Bullish
Trump's budget proposes sale from emergency oil reserve,2,Neutral
Nooruddin Fidai | Creating magic out of moving averages - Moneycontrol.com,2,Neutral
Former ConsenSys executive says Bitcoin will increase ‘stability for the average person’,1,Bullish
Congress Leaders Move Supreme Court Against Amended Citizenship Act,2,Neutral
MDU Resources outlines five-year $2.9B capex plan,2,Neutral
Tesla unveiled a new electric pickup truck called Cybertruck yesterday. But the truck’s futuristic design polarized… https://t.co/e70Lm0m1dy,2,Neutral
Hong Kong stocks slip as whistle-blower doctor dies of virus,0,Bearish
7-Eleven pilots first cashierless store,2,Neutral
Metal Bank : Managing Director's Presentation to Shareholders #MetalBank #Stock #MarketScreener… https://t.co/xgnjVQORWf,2,Neutral
Black Friday shopping guide — What not to buy https://t.co/FJ44nxVptR by @DanielHowley https://t.co/6RFC545xln,2,Neutral
$WWE - WWE -3.1% amid two-notch cut at Wells Fargo https://t.co/bXmi4CknQL,0,Bearish
WTI crude oil up just 1.2% and still below 60.,1,Bullish
Cboe's Q4 results slide on lower market volatility,0,Bearish
"BlackRock Inc. is pouring cold water on equity bulls, saying this year’s double-digit returns will be tough to matc… https://t.co/ug0vRRXxPv",0,Bearish
Airbus emissions-free regional jet in the making,2,Neutral
"Mohawk Industries, Inc.'s (NYSE:MHK) Earnings Dropped -19%, Did Its Industry Show Weakness Too?",0,Bearish
$KMI $UNG $UGAZ - Kinder Morgan's Elba Island terminal set for first LNG export shipment https://t.co/vKLNKfIk5B,2,Neutral
$HG1:COM $FCX $TECK - Copper pops to biggest gain in six years on stimulus bet https://t.co/RMjaEyvsZ8,1,Bullish
"ING's Fourth-Quarter Results Were Quite Challenging, Says CFO",0,Bearish
Philip Morris Q4 sales $7.713 bln vs. $7.499 bln; FactSet consensus $7.661 bln,1,Bullish
Clint Eastwood’s ‘Richard Jewell’ Opens to Below-Average Debut,2,Neutral
Americans are flocking to these 15 cities where jobs are plentiful and salaries are rising. (via @CNBCMakeIt)… https://t.co/QyQjU9Mx2O,2,Neutral
Google rolls out interpreter to mobile,2,Neutral
Mannatech declares $0.125 dividend,2,Neutral
Correction to Warning Signs for Companies Article -- Journal Report #economy #MarketScreener https://t.co/L8L5wiQgFg https://t.co/GwSqsePuC1,2,Neutral
Some expect natural gas prices to fall to levels not seen in three years https://t.co/2zAY6thZiD,0,Bearish
$UNG $UGAZ $DGAZ - Natural gas sinks 5% to near four-year lows https://t.co/U80UHz81yR,0,Bearish
Dollar little changed versus major rivals after economic data,2,Neutral
Axovant's AXO-AAV-GM1 an Orphan Drug in U.S. for GM1 gangliosidosis,2,Neutral
Gold firms ahead of tariff deadline and central bank decisions https://t.co/EZFDczi5P9 https://t.co/kE9ngOnIBA,1,Bullish
French Support for Strike Still High With Holiday Plans at Stake,2,Neutral
Hollywood Box Office Booms Even as Americans Stay Home and Chill,2,Neutral
"Grifols : December 6, 2019 Grifols presents its latest Alzheimer's clinical trial data #Grifols #Stock… https://t.co/Dnt4oYb4SP",2,Neutral
Hellenic Exchanges : Transactions by National Bank of Greece (regulated information - Law ... #HellenicExchanges… https://t.co/BpeiSxTRq5,2,Neutral
Jobless claims hit multi-year low,1,Bullish
Commerzbank told to speed up restructuring by ECB https://t.co/DfFV4bgnfi,2,Neutral
"$NVDA (+2.6% pre) Morgan Stanley Upgrades NVIDIA (NVDA) to Overweight, Sees Gaming/Data Center Accelerating in 2020… https://t.co/8T6hPNjc3R",1,Bullish
Consumer engagement drives Sydney gas network charges draft decision: AER #economy #MarketScreener… https://t.co/P4eS9yOemy,2,Neutral
Grubhub gains a bear on margin view,0,Bearish
How to Save Money on These 3 Holidays in 2020,2,Neutral
Gold extends surge after Fed unveils measures to support economy https://t.co/alMBM87pTh,1,Bullish
"Tesla shares rise as Musk says Cybertruck orders hit 200,000",1,Bullish
